gene,present,n_AD,n_HC,mean_AD,mean_HC,log2FC_AD_vs_HC,t_stat,p_value
TNF,True,32,47,6.54482796875,6.5352767021276605,0.0021069506345784902,0.4467155167020084,0.6565859898458024
IL1B,True,32,47,7.03831659375,6.81519340425532,0.04647581102582419,2.93566765428109,0.004602285184888328
IL6,True,32,47,6.6005768125,6.431946255319149,0.03733675288383165,2.1793998149255,0.03330679187651974
IL10,True,32,47,6.256176619189376,6.130176153666552,0.029352711069972656,3.8158051136462037,0.00033612846562216945
IFNG,False,0,0,,,,,
NLRP3,True,32,47,7.2690148546614335,7.184879910430409,0.016795810342084223,2.947465431809559,0.004552280511883139
TLR4,True,32,47,9.48979790625,9.248759553191489,0.037117480201154095,2.3139740308601544,0.023666000495718674
MYD88,True,32,47,8.6288436875,8.32328070212766,0.05201495046431529,4.691811511203311,1.2340426679679312e-05
NFKB1,True,32,47,8.564423125000001,8.40446604255319,0.027199909517209384,5.256149152136055,1.4489809817485763e-06
