Gene,Average,Std_Dev
KLHDC7A,"7,545530362182981","0,09226824761871738"
PAX7,"6,838700907093513","0,11412547384047374"
MRTO4,"7,508763571475904","0,1155250682051868"
SLC66A1,"8,360582055375772","0,09018955076983025"
MICOS10,"9,62754094530199","0,10568794691380554"
RPS14P3,"7,186722240996768","0,10442682926450207"
NBL1,"9,185517153039752","0,10568877195777615"
HTR6,"8,03034116599129","0,13086708308409964"
OTUD3,"8,18169588451125","0,1453908826229527"
PLA2G5,"7,907095696706019","0,2752650820144209"
PLA2G2F,"7,1238702265446845","0,09354495459723686"
UBXN10,"8,05652603263039","0,23860620733674331"
VWA5B1,"6,980061680154225","0,11976801362848566"
FAM43B,"8,956318454740407","0,10681077246941145"
CDA,"7,268656488169607","0,1311250599312599"
PINK1,"10,212551185615553","0,10720890468095076"
PPP1R11,"8,191946907736538","0,11186951868685664"
HS6ST1,"10,317683900948241","0,17815425862763284"
NBPF3,"7,643256952031677","0,09116511002827092"
ALPL,"8,755323447273177","0,32663798437177555"
LDLRAD2,"7,89133618897355","0,0940652187195754"
CELA3A,"7,738754662163886","0,0960484861221262"
LINC00339,"6,882664059998264","0,14732891526259764"
CDC42,"9,113953379917767","0,11475441224229137"
ZBTB40,"8,484147872744137","0,1004467316614924"
EPHA8,"7,24216981572309","0,10704223037745964"
C1QA,"7,433310289497856","0,5628155074265385"
C1QC,"10,099891402262127","0,7546634224291638"
C1QB,"10,181305590241621","0,7408717988128868"
EPHB2,"7,982508304501714","0,12374695225667355"
KDM1A,"9,162892518070212","0,10182142054659506"
ZNF436-AS1,"7,108328457082811","0,09212412553820305"
MDS2,"7,066694531132324","0,1057220904534002"
RPL11,"10,072927048689381","0,19504798750773494"
PITHD1,"9,381887165658219","0,18731110222375336"
LYPLA2,"9,280380394889184","0,15138893281029872"
PNRC2,"10,089333522044281","0,13489931938049207"
GRHL3,"6,789504346707672","0,13934152340540826"
NIPAL3,"9,195628204373735","0,15174512597203282"
RCAN3,"7,901842900184471","0,11767863499071955"
NCMAP,"7,1629662694695355","0,08414192194306247"
SRRM1,"9,767057191568366","0,09880665122592595"
CLIC4,"10,458747782765238","0,3221170455550552"
RHD,"6,124980612951906","0,1912064205161038"
SDHD,"10,01406868852249","0,10907479285203063"
MACO1,"8,89632299007619","0,1419676925429461"
LDLRAP1,"7,842130702320058","0,1570173134632009"
MAN1C1,"9,148557754079107","0,12311631329461949"
SELENON,"9,689508225916564","0,18381641072365168"
EXTL1,"8,569326366688282","0,24596153598949494"
PDIK1L,"7,550277450681102","0,12583339939663699"
ZNF593,"8,050496691446192","0,0883800798024909"
CNKSR1,"7,071820936083454","0,09193709404709341"
CATSPER4,"6,149761138508966","0,10134908629177529"
CEP85,"7,436708789394068","0,1029653554128915"
